paper_id,scilitbench_year,publication_year,publication_month,publication_date,evidence_source,evidence_detail,decision_basis
paper_22649.pdf,2025,2024,12,2024-12-09,crossref_doi_published-online,Crossref DOI 10.1111/jsr.14436; field=published-online; type=journal-article,Manually adjudicated to Dec 2024 using online-first date; prior 2025 annotation/print issue date conflicted with intended 2025 cutoff.
paper_23007.pdf,2025,2025,5,2025-05-23,manual_pdf_review,"Manual review of PDF: received January 1, 2025; revised April 18, 2025; accepted May 16, 2025; available online May 23, 2025. Crossref recovered December 2025 from published-print.",Manually adjudicated to May 2025 for PRISMA-LLM month-level analysis.
paper_27766.pdf,2025,2025,6,2025-06-09,manual_pdf_review,"Manual review of PDF: Taylor & Francis article page in PDF gives Published online: 09 Jun 2025. Crossref recovered December 31, 2025 from published-print.",Manually adjudicated to Jun 2025 for PRISMA-LLM month-level analysis.
paper_31750.pdf,2025,2025,6,2025-06,manual_pdf_review,"Manual review of PDF: ACM Computing Surveys citation and footer give Publication date: June 2025. Crossref recovered November 30, 2025 from published-print.",Manually adjudicated to Jun 2025 for PRISMA-LLM month-level analysis.
paper_37843.pdf,2025,2024,9,2024-09-05,crossref_doi_published-online,Crossref DOI 10.1002/job.2831; field=published-online; type=journal-article,Manually adjudicated to Sep 2024 using online-first date; prior 2025 annotation/print issue date conflicted with intended 2025 cutoff.
paper_7774.pdf,2024,2023,12,2023-12-20,crossref_doi_published-online,Crossref DOI 10.1007/978-3-031-48858-0_25; field=published-online; type=book-chapter,Manually adjudicated to 2023 Dec based on Springer publication date and DOI metadata.
paper_12476.pdf,2024,2024,11,2024-11,manual_pdf_review,"Manual review of PDF: header gives BJS Open, 2024, zrae156; visible date line gives Accepted: November 08, 2024.",Manually adjudicated to 2024 Nov based on user review and PDF visible date evidence.
paper_16227.pdf,2021,2022,12,2022-12-15,crossref_doi_published-online,Crossref DOI 10.2196/40743; field=published-online; type=journal-article,Manually adjudicated to 2022 Dec after PDF and Crossref check; prior ground truth year 2021 was inconsistent with PDF.
paper_6129.pdf,2021,2021,10,2021-10,manual_event_review,Manual review: MEDINFO 2021 conference/proceedings convention; conference dates 2-4 October 2021.,Manually adjudicated to 2021 Oct under MEDINFO 2021 conference-date convention.
paper_6146.pdf,2021,2021,10,2021-10,manual_event_review,Manual review: MEDINFO 2021 conference/proceedings convention; conference dates 2-4 October 2021.,Manually adjudicated to 2021 Oct under MEDINFO 2021 conference-date convention.
paper_6392.pdf,2024,2023,12,2023-12-13,crossref_doi_published-online,Crossref DOI 10.1007/978-3-031-50188-3_9; field=published-online; type=book-chapter,Manually adjudicated to 2023 Dec for PRISMA-LLM month-level analysis despite formal Springer citation year 2024.
paper_7530.pdf,2019,2019,10,2019-10,manual_event_review,"Manual review: Procedia CIRP 86 (2019), 7th CIRP Global Web Conference/CIRPe 2019; conference dates 16-18 October 2019.",Manually adjudicated to 2019 Oct under CIRPe 2019 conference-date convention; prior recovered date came from weak Crossref license metadata.
paper_11114.pdf,2023,2022,11,2022-11-23,pubmed_eutils_DEP,PubMed DOI lookup 10.1016/j.mex.2022.101935; PMID(s)=36590320; field=DEP,Manually adjudicated to Nov 2022 for PRISMA-LLM month-level analysis; MethodsX volume year is 2023 but article-level available-online/electronic date is Nov 2022.
paper_20042.pdf,2025,2024,11,2024-11-20,crossref_doi_published-online,Crossref DOI 10.12688/wellcomeopenres.20000.2; field=published-online; type=journal-article,Manually adjudicated to Nov 2024 for PRISMA-LLM month-level analysis.
paper_23856.pdf,2025,2024,12,2024-12-25,crossref_doi_published-online,Crossref DOI 10.3390/environments12010001; field=published-online; type=journal-article,Manually adjudicated to Dec 2024 for PRISMA-LLM month-level analysis.
paper_23953.pdf,2024,2024,12,2024-12,manual_pdf_review,Manual adjudication: use Dec 2024 for PRISMA-LLM despite Crossref published date Jan 2025.,Manually adjudicated to Dec 2024 for PRISMA-LLM month-level analysis.
paper_31528.pdf,2023,2023,1,2023-01,manual_issue_review,"Manual review: citation is Electronics 2023, 12, 22; volume 12 issue 1 supports January 2023 as issue-month convention, while article-level published date is 2022-12-21.",Manually adjudicated to Jan 2023 under journal issue-month convention; article-level online date is Dec 2022.
paper_31607.pdf,2022,2022,1,2022-01,manual_volume_review,"Manual review: citation is Current Research in Food Science 5 (2022) 84-95; January 2022 is used as citation-volume month convention, while article-level available-online date is 2021-12-26.",Manually adjudicated to Jan 2022 under annual-volume citation convention; article-level online date is Dec 2021.
paper_11913.pdf,2024,2025,4,2025-04-07,crossref_doi_published-online,Crossref DOI 10.1136/bmjebm-2024-113123; field=published-online; type=journal-article,Manually adjudicated to Apr 2025 for PRISMA-LLM; DOI 2024 segment is manuscript/tracking identifier rather than publication year.
paper_2212.pdf,2024,2024,2,2024-02,manual_event_review,"Manual review: AAAI-24 / Thirty-Eighth AAAI Conference on Artificial Intelligence was held February 20-27, 2024; arXiv online date was December 2023.",Manually adjudicated to Feb 2024 under AAAI-24 conference/proceedings convention; recovered arXiv online date is Dec 2023.
